caves;stalagmite;latitude;longitude;depth;age;O18;O18_error;C13;C13_error;
Cueva de Diamante;NAR-C;-5.733333;-77.5;39.2;17.862;-7.65;-;-6.83;-;2.18
Cueva de Diamante;NAR-C;-5.733333;-77.5;39.26;17.89;-7.13;-;-6.81;-;2.14
Cueva de Diamante;NAR-C;-5.733333;-77.5;39.32;17.917;-7.15;-;-6.81;-;2.22
Cueva de Diamante;NAR-C;-5.733333;-77.5;39.38;17.944;-7.49;-;-6.95;-;2.22
Cueva de Diamante;NAR-C;-5.733333;-77.5;39.44;17.972;-7.46;-;-6.81;-;2.14
Cueva de Diamante;NAR-C;-5.733333;-77.5;39.5;17.999;-7.43;-;-6.68;-;2.22
Cueva de Diamante;NAR-C;-5.733333;-77.5;39.56;18.027;-7.22;-;-6.75;-;2.14
Cueva de Diamante;NAR-C;-5.733333;-77.5;39.62;18.414;-7.24;-;-6.97;-;0.16
Cueva de Diamante;NAR-C;-5.733333;-77.5;39.68;18.801;-7.33;-;-6.99;-;0.16
Cueva de Diamante;NAR-C;-5.733333;-77.5;39.74;19.189;-7.22;-;-7.56;-;0.15
Cueva de Diamante;NAR-C;-5.733333;-77.5;39.8;19.576;-6.85;-;-7.94;-;0.16
Cueva de Diamante;NAR-C;-5.733333;-77.5;39.875;20.061;-6.68;-;-8.37;-;0.15
Cueva de Diamante;NAR-C;-5.733333;-77.5;39.95;20.545;-7.02;-;-8.57;-;0.15
Cueva de Diamante;NAR-C;-5.733333;-77.5;40.025;21.029;-6.69;-;-8.57;-;0.15
Cueva de Diamante;NAR-C;-5.733333;-77.5;40.1;21.513;-6.83;-;-8.47;-;0.15
Cueva de Diamante;NAR-C;-5.733333;-77.5;40.175;21.531;-6.89;-;-8.17;-;4.17
Cueva de Diamante;NAR-C;-5.733333;-77.5;40.25;21.548;-6.81;-;-8.65;-;4.41
Cueva de Diamante;NAR-C;-5.733333;-77.5;40.325;21.565;-6.97;-;-8.99;-;4.41
Cueva de Diamante;NAR-C;-5.733333;-77.5;40.4;21.582;-6.73;-;-8.54;-;4.41
Cueva de Diamante;NAR-C;-5.733333;-77.5;40.475;21.599;-6.71;-;-8.49;-;4.41
Cueva de Diamante;NAR-C;-5.733333;-77.5;40.55;21.616;-6.71;-;-8.62;-;4.41
