caves;stalagmite;age;temp
Botuvera Cave;BT2;16.72;16.48
Botuvera Cave;BT2;16.71;16.21
Botuvera Cave;BT2;16.7;16.34
Botuvera Cave;BT2;16.69;16.26
Botuvera Cave;BT2;16.68;16.24
Botuvera Cave;BT2;16.67;16.48
Botuvera Cave;BT2;16.66;16.5
Botuvera Cave;BT2;16.65;16.03
Botuvera Cave;BT2;16.64;16.07
Botuvera Cave;BT2;16.63;16.7
Botuvera Cave;BT2;16.62;16.13
Botuvera Cave;BT2;16.61;16.39
Botuvera Cave;BT2;16.6;16.41
Botuvera Cave;BT2;16.59;16.4
Botuvera Cave;BT2;16.58;16.37
Botuvera Cave;BT2;16.57;16.22
Botuvera Cave;BT2;16.56;16.5
Botuvera Cave;BT2;16.55;16.09
Botuvera Cave;BT2;16.54;16.17
Botuvera Cave;BT2;16.53;16.25
Botuvera Cave;BT2;16.52;16.14
Botuvera Cave;BT2;16.51;16.33
Botuvera Cave;BT2;16.5;16.42
Botuvera Cave;BT2;16.49;16.27
Botuvera Cave;BT2;16.48;16.44
Botuvera Cave;BT2;16.47;16.26
Botuvera Cave;BT2;16.46;16.63
Botuvera Cave;BT2;16.45;16.68
Botuvera Cave;BT2;16.44;16.06
Botuvera Cave;BT2;16.43;16.5
Botuvera Cave;BT2;16.42;16.17
Botuvera Cave;BT2;16.41;16.48
Botuvera Cave;BT2;16.4;16.61
Botuvera Cave;BT2;16.39;16.48
Botuvera Cave;BT2;16.38;16.45
Botuvera Cave;BT2;16.37;16.47
Botuvera Cave;BT2;16.36;16.39
Botuvera Cave;BT2;16.35;16.36
Botuvera Cave;BT2;16.34;16.43
Botuvera Cave;BT2;16.33;16.2
Botuvera Cave;BT2;16.32;16.26
Botuvera Cave;BT2;16.31;16.06
Botuvera Cave;BT2;16.3;16.05
Botuvera Cave;BT2;16.29;16.23
Botuvera Cave;BT2;16.28;16.3
Botuvera Cave;BT2;16.27;16.39
Botuvera Cave;BT2;16.26;16.36
Botuvera Cave;BT2;16.25;16.65
Botuvera Cave;BT2;16.24;16.03
Botuvera Cave;BT2;16.23;16.44
Botuvera Cave;BT2;16.22;16.71
Botuvera Cave;BT2;16.21;16.46
Botuvera Cave;BT2;16.2;16.37
Botuvera Cave;BT2;16.19;16.92
Botuvera Cave;BT2;16.18;16.38
Botuvera Cave;BT2;16.17;16.78
Botuvera Cave;BT2;16.16;16.4
Botuvera Cave;BT2;16.15;16.45
Botuvera Cave;BT2;16.14;16.77
Botuvera Cave;BT2;16.13;16.59
Botuvera Cave;BT2;16.12;16.57
Botuvera Cave;BT2;16.11;16.47
Botuvera Cave;BT2;16.1;16.38
Botuvera Cave;BT2;16.09;16.56
Botuvera Cave;BT2;16.08;16.46
Botuvera Cave;BT2;16.07;16.33
Botuvera Cave;BT2;16.06;16.42
Botuvera Cave;BT2;16.05;16.33
Botuvera Cave;BT2;16.04;16.76
Botuvera Cave;BT2;16.03;16.7
Botuvera Cave;BT2;16.02;16.55
Botuvera Cave;BT2;16.01;16.69
Botuvera Cave;BT2;16;16.61
Botuvera Cave;BT2;15.99;16.51
Botuvera Cave;BT2;15.98;16.65
Botuvera Cave;BT2;15.97;16.34
Botuvera Cave;BT2;15.96;16.43
Botuvera Cave;BT2;15.95;16.54
Botuvera Cave;BT2;15.94;16.49
Botuvera Cave;BT2;15.93;16.53
Botuvera Cave;BT2;15.92;16.42
Botuvera Cave;BT2;15.91;16.5
Botuvera Cave;BT2;15.9;16.47
Botuvera Cave;BT2;15.89;16.32
Botuvera Cave;BT2;15.88;16.54
Botuvera Cave;BT2;15.87;16.52
Botuvera Cave;BT2;15.86;16.93
Botuvera Cave;BT2;15.85;16.83
Botuvera Cave;BT2;15.84;16.27
Botuvera Cave;BT2;15.83;16.73
Botuvera Cave;BT2;15.82;16.51
Botuvera Cave;BT2;15.81;16.73
Botuvera Cave;BT2;15.8;16.94
Botuvera Cave;BT2;15.79;16.75
Botuvera Cave;BT2;15.78;16.72
Botuvera Cave;BT2;15.77;16.51
Botuvera Cave;BT2;15.76;16.65
Botuvera Cave;BT2;15.75;16.23
Botuvera Cave;BT2;15.74;16.49
Botuvera Cave;BT2;15.73;16.71
Botuvera Cave;BT2;15.72;16.61
Botuvera Cave;BT2;15.71;16.41
Botuvera Cave;BT2;15.7;16.48
Botuvera Cave;BT2;15.69;16.82
Botuvera Cave;BT2;15.68;16.74
Botuvera Cave;BT2;15.67;16.58
